0 0 12.0000 -3.7500 3.7500 0.0000 0.0000
1000 1 12.0000 -3.7500 3.7500 -0.0011 0.0010
1989 2 12.0000 -3.7500 3.7500 -0.0067 0.0064
2978 3 12.0000 -3.7500 3.7500 -0.0184 0.0185
3967 4 12.0000 -3.7500 3.7500 -0.0366 0.0379
4956 5 12.0000 -3.7500 3.7500 -0.0609 0.0648
5945 6 12.0000 -3.7500 3.7500 -0.0900 0.0977
6934 7 12.0000 -3.7500 3.7500 -0.1224 0.1344
7923 8 12.0000 -3.7500 3.7500 -0.1562 0.1698
8912 9 12.0000 -3.7500 3.7500 -0.1887 0.1986
9901 10 12.0000 -3.7500 3.7500 -0.2167 0.2180
10890 11 12.0000 -3.7500 3.7500 -0.2384 0.2301
11879 12 12.0000 -3.7500 3.7500 -0.2514 0.2357
